DATETIME,TIME,LON,LAT,DEP,V
"31-DEC-2022",44559.5,76.5,5.25,5,0.21977  
"31-DEC-2022",44559.5,77,5.25,5,0.453226  
"31-DEC-2022",44559.5,77.5,5.25,5,0.502535  
"31-DEC-2022",44559.5,78,5.25,5,0.353846  
"31-DEC-2022",44559.5,78.5,5.25,5,0.228715  
"31-DEC-2022",44559.5,79,5.25,5,0.100162  
"31-DEC-2022",44559.5,79.5,5.25,5,-0.037155  
"31-DEC-2022",44559.5,80,5.25,5,-0.0963843  
"31-DEC-2022",44559.5,80.5,5.25,5,-0.00381642  
"31-DEC-2022",44559.5,81,5.25,5,0.112438  
"31-DEC-2022",44559.5,81.5,5.25,5,0.197204  
"31-DEC-2022",44559.5,82,5.25,5,0.259444  
"31-DEC-2022",44559.5,82.5,5.25,5,0.216377  
"31-DEC-2022",44559.5,83,5.25,5,0.192096  
"31-DEC-2022",44559.5,83.5,5.25,5,0.201677  
"31-DEC-2022",44559.5,84,5.25,5,0.234027  
"31-DEC-2022",44559.5,84.5,5.25,5,0.234284  
"31-DEC-2022",44559.5,85,5.25,5,0.248168  
"31-DEC-2022",44559.5,85.5,5.25,5,0.216931  
"31-DEC-2022",44559.5,86,5.25,5,0.119586  
"31-DEC-2022",44559.5,86.5,5.25,5,0.00953586  
"31-DEC-2022",44559.5,87,5.25,5,-0.00354675  
"31-DEC-2022",44559.5,87.5,5.25,5,-0.00620189  
"31-DEC-2022",44559.5,88,5.25,5,0.00343804  
"31-DEC-2022",44559.5,88.5,5.25,5,0.0955531  
"31-DEC-2022",44559.5,89,5.25,5,0.193498  
"31-DEC-2022",44559.5,68,5.5,5,0.231178  
"31-DEC-2022",44559.5,68.5,5.5,5,0.250008  
"31-DEC-2022",44559.5,69,5.5,5,0.25942  
"31-DEC-2022",44559.5,69.5,5.5,5,0.265269  
"31-DEC-2022",44559.5,70,5.5,5,0.260572  
"31-DEC-2022",44559.5,70.5,5.5,5,0.194213  
"31-DEC-2022",44559.5,71,5.5,5,0.11662  
"31-DEC-2022",44559.5,71.5,5.5,5,0.0599517  
"31-DEC-2022",44559.5,72,5.5,5,0.0690675  
"31-DEC-2022",44559.5,72.5,5.5,5,0.0855569  
"31-DEC-2022",44559.5,73,5.5,5,0.106857  
"31-DEC-2022",44559.5,73.5,5.5,5,0.0944331  
"31-DEC-2022",44559.5,74,5.5,5,0.0565724  
"31-DEC-2022",44559.5,74.5,5.5,5,-0.0484111  
"31-DEC-2022",44559.5,75,5.5,5,-0.123287  
"31-DEC-2022",44559.5,75.5,5.5,5,-0.0502513  
"31-DEC-2022",44559.5,76,5.5,5,0.0334139  
"31-DEC-2022",44559.5,76.5,5.5,5,0.176251  
"31-DEC-2022",44559.5,77,5.5,5,0.369154  
"31-DEC-2022",44559.5,77.5,5.5,5,0.50209  
"31-DEC-2022",44559.5,78,5.5,5,0.378035  
"31-DEC-2022",44559.5,78.5,5.5,5,0.238417  
"31-DEC-2022",44559.5,79,5.5,5,0.0860696  
"31-DEC-2022",44559.5,79.5,5.5,5,-0.0204457  
"31-DEC-2022",44559.5,80,5.5,5,-0.0739963  
"31-DEC-2022",44559.5,80.5,5.5,5,0.0141649  
"31-DEC-2022",44559.5,81,5.5,5,0.105923  
"31-DEC-2022",44559.5,81.5,5.5,5,0.195113  
"31-DEC-2022",44559.5,82,5.5,5,0.236082  
"31-DEC-2022",44559.5,82.5,5.5,5,0.242385  
"31-DEC-2022",44559.5,83,5.5,5,0.190076  
"31-DEC-2022",44559.5,83.5,5.5,5,0.179343  
"31-DEC-2022",44559.5,84,5.5,5,0.228165  
"31-DEC-2022",44559.5,84.5,5.5,5,0.305573  
"31-DEC-2022",44559.5,85,5.5,5,0.297149  
"31-DEC-2022",44559.5,85.5,5.5,5,0.247377  
"31-DEC-2022",44559.5,86,5.5,5,0.110372  
"31-DEC-2022",44559.5,86.5,5.5,5,0.00795566  
"31-DEC-2022",44559.5,87,5.5,5,-0.00990304  
"31-DEC-2022",44559.5,87.5,5.5,5,-0.0578065  
"31-DEC-2022",44559.5,88,5.5,5,-0.0338769  
"31-DEC-2022",44559.5,88.5,5.5,5,0.0774616  
"31-DEC-2022",44559.5,89,5.5,5,0.189014  
"31-DEC-2022",44559.5,68,5.75,5,0.225533  
"31-DEC-2022",44559.5,68.5,5.75,5,0.254159  
"31-DEC-2022",44559.5,69,5.75,5,0.273414  
"31-DEC-2022",44559.5,69.5,5.75,5,0.297663  
"31-DEC-2022",44559.5,70,5.75,5,0.297021  
"31-DEC-2022",44559.5,70.5,5.75,5,0.243607  
"31-DEC-2022",44559.5,71,5.75,5,0.14461  
"31-DEC-2022",44559.5,71.5,5.75,5,0.0555609  
"31-DEC-2022",44559.5,72,5.75,5,0.0470368  
"31-DEC-2022",44559.5,72.5,5.75,5,0.0666066  
"31-DEC-2022",44559.5,73,5.75,5,0.0920826  
"31-DEC-2022",44559.5,73.5,5.75,5,0.1111  
"31-DEC-2022",44559.5,74,5.75,5,0.0501369  
"31-DEC-2022",44559.5,74.5,5.75,5,-0.0227702  
"31-DEC-2022",44559.5,75,5.75,5,-0.0817797  
"31-DEC-2022",44559.5,75.5,5.75,5,-0.0403858  
"31-DEC-2022",44559.5,76,5.75,5,0.0271922  
"31-DEC-2022",44559.5,76.5,5.75,5,0.123844  
"31-DEC-2022",44559.5,77,5.75,5,0.253497  
