DATETIME,TIME,LON,LAT,DEP,EASTWARD_WIND
"31-DEC-2022",1.07819E+06,78.375,4.375,10,-1.94  
"31-DEC-2022",1.07819E+06,78.625,4.375,10,-2.7  
"31-DEC-2022",1.07819E+06,78.875,4.375,10,-3.29  
"31-DEC-2022",1.07819E+06,79.125,4.375,10,-4.93  
"31-DEC-2022",1.07819E+06,79.375,4.375,10,-4.67  
"31-DEC-2022",1.07819E+06,79.625,4.375,10,-3.97  
"31-DEC-2022",1.07819E+06,79.875,4.375,10,-3.83  
"31-DEC-2022",1.07819E+06,80.125,4.375,10,-3.25  
"31-DEC-2022",1.07819E+06,80.375,4.375,10,-2.7  
"31-DEC-2022",1.07819E+06,80.625,4.375,10,-2.61  
"31-DEC-2022",1.07819E+06,80.875,4.375,10,-2.25  
"31-DEC-2022",1.07819E+06,81.125,4.375,10,-1.89  
"31-DEC-2022",1.07819E+06,81.375,4.375,10,-1.75  
"31-DEC-2022",1.07819E+06,81.625,4.375,10,-1.76  
"31-DEC-2022",1.07819E+06,81.875,4.375,10,-1.4  
"31-DEC-2022",1.07819E+06,82.125,4.375,10,-1.02  
"31-DEC-2022",1.07819E+06,82.375,4.375,10,-0.02  
"31-DEC-2022",1.07819E+06,82.625,4.375,10,-0.68  
"31-DEC-2022",1.07819E+06,82.875,4.375,10,-1.5  
"31-DEC-2022",1.07819E+06,83.125,4.375,10,-2.09  
"31-DEC-2022",1.07819E+06,83.375,4.375,10,-2.23  
"31-DEC-2022",1.07819E+06,83.625,4.375,10,-2.13  
"31-DEC-2022",1.07819E+06,83.875,4.375,10,-2.07  
"31-DEC-2022",1.07819E+06,84.125,4.375,10,-1.89  
"31-DEC-2022",1.07819E+06,84.375,4.375,10,-1.72  
"31-DEC-2022",1.07819E+06,84.625,4.375,10,-1.28  
"31-DEC-2022",1.07819E+06,84.875,4.375,10,-1.73  
"31-DEC-2022",1.07819E+06,85.125,4.375,10,-2.18  
"31-DEC-2022",1.07819E+06,85.375,4.375,10,-2.22  
"31-DEC-2022",1.07819E+06,85.625,4.375,10,-2.22  
"31-DEC-2022",1.07819E+06,85.875,4.375,10,-2.09  
"31-DEC-2022",1.07819E+06,86.125,4.375,10,-1.98  
"31-DEC-2022",1.07819E+06,86.375,4.375,10,-2.11  
