DATETIME,TIME,LON,LAT,E_WIND,N_WIND,Z_CURR,M_CURR
31-DEC-2022,44559.5,70.5,4.75,-7.09,-2.455,-0.401286,0.108464
31-DEC-2022,44559.5,71.0,4.75,-7.57,-2.56,-0.425128,0.0636393
31-DEC-2022,44559.5,71.5,4.75,-7.32,-3.025,-0.415879,0.0582603
31-DEC-2022,44559.5,72.0,4.75,-5.8240,-2.535,-0.369208,0.080891
31-DEC-2022,44559.5,72.5,4.75,-5.635,-2.17,-0.324665,0.0900335
31-DEC-2022,44559.5,73.0,4.75,-6.085,-2.17,-0.292605,0.102276
31-DEC-2022,44559.5,73.5,4.75,-6.395,-2.47,-0.275577,0.05367
31-DEC-2022,44559.5,74.0,4.75,-6.26501,-2.475,-0.306998,-0.0136976
31-DEC-2022,44559.5,74.5,4.75,-5.785,-2.96,-0.277471,-0.110774
31-DEC-2022,44559.5,75.0,4.75,-5.24,-3.82,-0.213097,-0.156147
31-DEC-2022,44559.5,75.5,4.75,-4.825,-4.155,-0.159473,-0.117182
31-DEC-2022,44559.5,76.0,4.75,-4.7709,-4.48,-0.150469,0.0501028
31-DEC-2022,44559.5,76.5,4.75,-5.035,-4.5740,-0.179707,0.256831
31-DEC-2022,44559.5,77.0,4.75,-4.445,-4.785,-0.234092,0.472079
31-DEC-2022,44559.5,77.5,4.75,-3.475,-4.76501,-0.310917,0.413843
31-DEC-2022,44559.5,78.0,4.75,-2.725,-4.495,-0.349915,0.30773
31-DEC-2022,44559.5,78.5,4.75,-2.445,-3.945,-0.33673,0.210546
31-DEC-2022,44559.5,79.0,4.75,-3.4404,-2.955,-0.334676,0.0820468
31-DEC-2022,44559.5,79.5,4.75,-4.265,-3.1103,-0.347512,-0.0815759
31-DEC-2022,44559.5,80.0,4.75,-5.2251366,-0.159928, -1e+10, -1e+10
31-DEC-2022,44559.5,80.5,4.75,-4.14,-5.2340,-0.426847,-0.102196
31-DEC-2022,44559.5,81.0,4.75,-2.95,-6.565,-0.497116,-0.00171475
31-DEC-2022,44559.5,81.5,4.75,-1.565,-6.785,-0.489631,0.135587
31-DEC-2022,44559.5,82.0,4.75,-1.255,-6.64001,-0.47025,0.209704
31-DEC-2022,44559.5,82.5,4.75,-0.64,-7.145,-0.414864,0.197203
31-DEC-2022,44559.5,83.0,4.75,-1.985,-7.27,-0.337555,0.204896
31-DEC-2022,44559.5,83.5,4.75,-2.165,-6.975,-0.274954,0.164836
31-DEC-2022,44559.5,84.0,4.75,-2.215,-6.03,-0.242912,0.143579
31-DEC-2022,44559.5,84.5,4.75,-2.225,-5.51,-0.279201,0.12573
31-DEC-2022,44559.5,85.0,4.75,-2.735003,-5.425,-0.350274,0.124676
31-DEC-2022,44559.5,85.5,4.75,-2.8,-5.42,-0.402969,0.108558
31-DEC-2022,44559.5,86.0,4.75,-2.435,-5.895,-0.390324,0.0586988
31-DEC-2022,44559.5,86.5,4.75,-2.485003,-6.26501,-0.33,0.0054
31-DEC-2022,44559.5,87.0,4.75,-2.245,-6.135,-0.238806,0.0066993
31-DEC-2022,44559.5,87.5,4.75,-2.875,-5.391,-0.245298,0.0429311
31-DEC-2022,44559.5,88.0,4.75,-3.205,-4.76,-0.246623,0.0922306
31-DEC-2022,44559.5,88.5,4.75,-2.945003,-4.445,-0.193897,0.137147
31-DEC-2022,44559.5,89.0,4.75,-2.96,-4.46,-0.110953,0.167866
31-DEC-2022,44559.5,68.0,5.0,-5.22,-2.67,-0.270925,0.256967
31-DEC-2022,44559.5,68.5,5.0,-4.73,-3.35,-0.255282,0.24863
31-DEC-2022,44559.5,69.0,5.0,-3.895,-5.16,-0.272754,0.229531
31-DEC-2022,44559.5,69.5,5.0,-5.725,-0.49,-0.328925,0.215326
31-DEC-2022,44559.5,70.0,5.0,-5.6099,-0.68,-0.381865,0.176187
31-DEC-2022,44559.5,70.5,5.0,-6.13,-1.7202,-0.42425,0.120967
31-DEC-2022,44559.5,71.0,5.0,-6.745,-2.1103,-0.46246,0.0624394
31-DEC-2022,44559.5,71.5,5.0,-7.21,-2.715,-0.466834,0.0481753
31-DEC-2022,44559.5,72.0,5.0,-5.8240,-2.525004,-0.413428,0.0613142
31-DEC-2022,44559.5,72.5,5.0,-5.78,-2.25,-0.359876,0.0715645
31-DEC-2022,44559.5,73.0,5.0,-6.24,-2.365,-0.294605,0.104967
31-DEC-2022,44559.5,73.5,5.0,-6.305,-2.6,-0.256083,0.0747835
31-DEC-2022,44559.5,74.0,5.0,-6.065,-2.8,-0.255248,0.0201024
