DATETIME,TIME,LON,LAT,EASTWARD_WIND,NORTHWARD_WIND
31-DEC-2022,44559.5,83.5,4.75,-2.165,-6.975
31-DEC-2022,44559.5,84.0,4.75,-2.215,-6.03
31-DEC-2022,44559.5,84.5,4.75,-2.225,-5.51
31-DEC-2022,44559.5,85.0,4.75,-2.7350000000000003,-5.425
31-DEC-2022,44559.5,85.5,4.75,-2.8,-5.42
31-DEC-2022,44559.5,86.0,4.75,-2.435,-5.895
31-DEC-2022,44559.5,86.5,4.75,-2.4850000000000003,-6.265000000000001
31-DEC-2022,44559.5,87.0,4.75,-2.245,-6.135
31-DEC-2022,44559.5,87.5,4.75,-2.875,-5.390000000000001
31-DEC-2022,44559.5,88.0,4.75,-3.205,-4.76
31-DEC-2022,44559.5,88.5,4.75,-2.9450000000000003,-4.445
31-DEC-2022,44559.5,89.0,4.75,-2.96,-4.46
31-DEC-2022,44559.5,68.0,5.0,-5.22,-2.67
31-DEC-2022,44559.5,68.5,5.0,-4.73,-3.35
31-DEC-2022,44559.5,69.0,5.0,-3.895,-5.16
31-DEC-2022,44559.5,69.5,5.0,-5.725,-0.49
31-DEC-2022,44559.5,70.0,5.0,-5.699999999999999,-0.68
31-DEC-2022,44559.5,70.5,5.0,-6.13,-1.7200000000000002
31-DEC-2022,44559.5,71.0,5.0,-6.745,-2.1100000000000003
31-DEC-2022,44559.5,71.5,5.0,-7.21,-2.715
31-DEC-2022,44559.5,72.0,5.0,-5.824999999999999,-2.5250000000000004
31-DEC-2022,44559.5,72.5,5.0,-5.78,-2.25
31-DEC-2022,44559.5,73.0,5.0,-6.24,-2.365
31-DEC-2022,44559.5,73.5,5.0,-6.305,-2.6
31-DEC-2022,44559.5,74.0,5.0,-6.0649999999999995,-2.8
31-DEC-2022,44559.5,74.5,5.0,-5.895,-2.875
31-DEC-2022,44559.5,75.0,5.0,-5.43,-3.49
31-DEC-2022,44559.5,75.5,5.0,-5.035,-4.08
31-DEC-2022,44559.5,76.0,5.0,-4.93,-4.58
31-DEC-2022,44559.5,76.5,5.0,-4.99,-4.77
31-DEC-2022,44559.5,77.0,5.0,-4.445,-4.92
31-DEC-2022,44559.5,77.5,5.0,-3.41,-4.675
31-DEC-2022,44559.5,78.0,5.0,-3.035,-5.135
31-DEC-2022,44559.5,78.5,5.0,-2.69,-4.865
31-DEC-2022,44559.5,79.0,5.0,-2.5549999999999997,-3.035
31-DEC-2022,44559.5,79.5,5.0,-3.55,-2.095
31-DEC-2022,44559.5,80.0,5.0,-4.74,-4.0
31-DEC-2022,44559.5,80.5,5.0,-5.105,-5.445
31-DEC-2022,44559.5,81.0,5.0,-4.205,-6.42
31-DEC-2022,44559.5,81.5,5.0,-1.5899999999999999,-6.77
31-DEC-2022,44559.5,82.0,5.0,-0.91,-6.425000000000001
31-DEC-2022,44559.5,82.5,5.0,-0.735,-6.55
31-DEC-2022,44559.5,83.0,5.0,-1.94,-7.105
31-DEC-2022,44559.5,83.5,5.0,-2.435,-7.225
31-DEC-2022,44559.5,84.0,5.0,-2.355,-6.109999999999999
31-DEC-2022,44559.5,84.5,5.0,-2.37,-5.54
31-DEC-2022,44559.5,85.0,5.0,-2.725,-5.465
31-DEC-2022,44559.5,85.5,5.0,-3.065,-5.125
31-DEC-2022,44559.5,86.0,5.0,-2.865,-5.54
31-DEC-2022,44559.5,86.5,5.0,-2.965,-5.88
31-DEC-2022,44559.5,87.0,5.0,-2.29,-6.04
31-DEC-2022,44559.5,87.5,5.0,-2.7750000000000004,-5.84
31-DEC-2022,44559.5,88.0,5.0,-2.77,-5.345
31-DEC-2022,44559.5,88.5,5.0,-2.5949999999999998,-5.075
31-DEC-2022,44559.5,89.0,5.0,-2.93,-4.49
31-DEC-2022,44559.5,68.0,5.25,-5.3,-3.09
31-DEC-2022,44559.5,68.5,5.25,-5.055,-3.8899999999999997
31-DEC-2022,44559.5,69.0,5.25,-3.925,-5.46
31-DEC-2022,44559.5,69.5,5.25,-5.640000000000001,-1.2999999999999998
31-DEC-2022,44559.5,70.0,5.25,-5.31,-0.605
31-DEC-2022,44559.5,70.5,5.25,-5.38,-1.5150000000000001
31-DEC-2022,44559.5,71.0,5.25,-6.29,-2.215
31-DEC-2022,44559.5,71.5,5.25,-6.965,-2.7249999999999996
31-DEC-2022,44559.5,72.0,5.25,-5.765,-2.3150000000000004
31-DEC-2022,44559.5,72.5,5.25,-6.3,-2.11
31-DEC-2022,44559.5,73.0,5.25,-6.515,-2.45
31-DEC-2022,44559.5,73.5,5.25,-6.365,-2.7800000000000002
31-DEC-2022,44559.5,74.0,5.25,-6.055,-3.17
31-DEC-2022,44559.5,74.5,5.25,-5.915,-3.11
31-DEC-2022,44559.5,75.0,5.25,-5.63,-3.115
31-DEC-2022,44559.5,75.5,5.25,-5.27,-3.6
31-DEC-2022,44559.5,76.0,5.25,-5.08,-4.285
31-DEC-2022,44559.5,76.5,5.25,-5.115,-4.6
31-DEC-2022,44559.5,77.0,5.25,-4.35,-4.970000000000001
31-DEC-2022,44559.5,77.5,5.25,-3.645,-4.73
31-DEC-2022,44559.5,78.0,5.25,-3.87,-5.244999999999999
31-DEC-2022,44559.5,78.5,5.25,-3.415,-5.515000000000001
31-DEC-2022,44559.5,79.0,5.25,-2.58,-3.3600000000000003
31-DEC-2022,44559.5,79.5,5.25,-3.09,-2.0549999999999997
31-DEC-2022,44559.5,80.0,5.25,-3.275,-4.265000000000001
31-DEC-2022,44559.5,80.5,5.25,-4.93,-6.05
31-DEC-2022,44559.5,81.0,5.25,-5.765000000000001,-7.18
31-DEC-2022,44559.5,81.5,5.25,-2.16,-7.285
31-DEC-2022,44559.5,82.0,5.25,-1.01,-6.365
31-DEC-2022,44559.5,82.5,5.25,-0.675,-6.375
31-DEC-2022,44559.5,83.0,5.25,-2.26,-6.46
31-DEC-2022,44559.5,83.5,5.25,-2.285,-7.275
31-DEC-2022,44559.5,84.0,5.25,-2.25,-6.18
31-DEC-2022,44559.5,84.5,5.25,-2.675,-5.76
31-DEC-2022,44559.5,85.0,5.25,-2.84,-5.635
31-DEC-2022,44559.5,85.5,5.25,-3.2350000000000003,-5.2
31-DEC-2022,44559.5,86.0,5.25,-3.36,-5.385
31-DEC-2022,44559.5,86.5,5.25,-3.34,-5.535
31-DEC-2022,44559.5,87.0,5.25,-2.505,-5.9350000000000005
31-DEC-2022,44559.5,87.5,5.25,-2.8200000000000003,-6.04
31-DEC-2022,44559.5,88.0,5.25,-2.5199999999999996,-5.734999999999999
31-DEC-2022,44559.5,88.5,5.25,-2.615,-5.42
31-DEC-2022,44559.5,89.0,5.25,-2.97,-4.82
31-DEC-2022,44559.5,68.0,5.5,-5.44,-3.41
31-DEC-2022,44559.5,68.5,5.5,-5.595000000000001,-3.4
31-DEC-2022,44559.5,69.0,5.5,-4.07,-5.29
