DATETIME,TIME,LON,LAT,ZON,MER
31-DEC-2022,44559.5,82.5,4.75,-0.414864,0.197203
31-DEC-2022,44559.5,83.0,4.75,-0.337555,0.204896
31-DEC-2022,44559.5,83.5,4.75,-0.274954,0.164836
31-DEC-2022,44559.5,84.0,4.75,-0.242912,0.143579
31-DEC-2022,44559.5,84.5,4.75,-0.279201,0.12573
31-DEC-2022,44559.5,85.0,4.75,-0.350274,0.124676
31-DEC-2022,44559.5,85.5,4.75,-0.402969,0.108558
31-DEC-2022,44559.5,86.0,4.75,-0.390324,0.0586988
31-DEC-2022,44559.5,86.5,4.75,-0.316693,0.00554279
31-DEC-2022,44559.5,87.0,4.75,-0.238806,0.0066993
31-DEC-2022,44559.5,87.5,4.75,-0.245298,0.0429311
31-DEC-2022,44559.5,88.0,4.75,-0.246623,0.0922306
31-DEC-2022,44559.5,88.5,4.75,-0.193897,0.137147
31-DEC-2022,44559.5,89.0,4.75,-0.110953,0.167866
31-DEC-2022,44559.5,68.0,5.0,-0.270925,0.256967
31-DEC-2022,44559.5,68.5,5.0,-0.255282,0.24863
31-DEC-2022,44559.5,69.0,5.0,-0.272754,0.229531
31-DEC-2022,44559.5,69.5,5.0,-0.328925,0.215326
31-DEC-2022,44559.5,70.0,5.0,-0.381865,0.176187
31-DEC-2022,44559.5,70.5,5.0,-0.42425,0.120967
31-DEC-2022,44559.5,71.0,5.0,-0.46246,0.0624394
31-DEC-2022,44559.5,71.5,5.0,-0.466834,0.0481753
31-DEC-2022,44559.5,72.0,5.0,-0.413428,0.0613142
31-DEC-2022,44559.5,72.5,5.0,-0.359876,0.0715645
31-DEC-2022,44559.5,73.0,5.0,-0.294605,0.104967
31-DEC-2022,44559.5,73.5,5.0,-0.256083,0.0747835
31-DEC-2022,44559.5,74.0,5.0,-0.255248,0.0201024
31-DEC-2022,44559.5,74.5,5.0,-0.261879,-0.0802329
31-DEC-2022,44559.5,75.0,5.0,-0.188878,-0.161878
31-DEC-2022,44559.5,75.5,5.0,-0.152423,-0.0897183
31-DEC-2022,44559.5,76.0,5.0,-0.14649,0.0530135
31-DEC-2022,44559.5,76.5,5.0,-0.162722,0.250726
31-DEC-2022,44559.5,77.0,5.0,-0.19481,0.482034
31-DEC-2022,44559.5,77.5,5.0,-0.218263,0.458455
31-DEC-2022,44559.5,78.0,5.0,-0.255584,0.332576
31-DEC-2022,44559.5,78.5,5.0,-0.238338,0.22557
31-DEC-2022,44559.5,79.0,5.0,-0.212851,0.0970878
31-DEC-2022,44559.5,79.5,5.0,-0.205124,-0.0564035
31-DEC-2022,44559.5,80.0,5.0,-0.236389,-0.124236
31-DEC-2022,44559.5,80.5,5.0,-0.305611,-0.047757
31-DEC-2022,44559.5,81.0,5.0,-0.401284,0.05181
31-DEC-2022,44559.5,81.5,5.0,-0.430444,0.152723
31-DEC-2022,44559.5,82.0,5.0,-0.418722,0.265385
31-DEC-2022,44559.5,82.5,5.0,-0.390989,0.209184
31-DEC-2022,44559.5,83.0,5.0,-0.318375,0.209732
31-DEC-2022,44559.5,83.5,5.0,-0.26857,0.203072
31-DEC-2022,44559.5,84.0,5.0,-0.242407,0.184385
31-DEC-2022,44559.5,84.5,5.0,-0.297087,0.169993
31-DEC-2022,44559.5,85.0,5.0,-0.366954,0.172114
31-DEC-2022,44559.5,85.5,5.0,-0.410277,0.157978
31-DEC-2022,44559.5,86.0,5.0,-0.359184,0.0929417
31-DEC-2022,44559.5,86.5,5.0,-0.262273,0.011731
31-DEC-2022,44559.5,87.0,5.0,-0.22521,0.000833167
31-DEC-2022,44559.5,87.5,5.0,-0.221304,0.0153779
31-DEC-2022,44559.5,88.0,5.0,-0.159119,0.0451815
31-DEC-2022,44559.5,88.5,5.0,-0.100906,0.11525
31-DEC-2022,44559.5,89.0,5.0,-0.0532335,0.184361
31-DEC-2022,44559.5,68.0,5.25,-0.225997,0.240823
31-DEC-2022,44559.5,68.5,5.25,-0.237464,0.262448
31-DEC-2022,44559.5,69.0,5.25,-0.246624,0.236561
31-DEC-2022,44559.5,69.5,5.25,-0.302224,0.240948
31-DEC-2022,44559.5,70.0,5.25,-0.372091,0.209221
31-DEC-2022,44559.5,70.5,5.25,-0.42415,0.145965
31-DEC-2022,44559.5,71.0,5.25,-0.474274,0.0801507
31-DEC-2022,44559.5,71.5,5.25,-0.471513,0.0544613
31-DEC-2022,44559.5,72.0,5.25,-0.41961,0.0599175
31-DEC-2022,44559.5,72.5,5.25,-0.345308,0.0780201
31-DEC-2022,44559.5,73.0,5.25,-0.285016,0.109626
31-DEC-2022,44559.5,73.5,5.25,-0.235775,0.0870174
31-DEC-2022,44559.5,74.0,5.25,-0.23607,0.0504451
31-DEC-2022,44559.5,74.5,5.25,-0.244337,-0.0699947
31-DEC-2022,44559.5,75.0,5.25,-0.178691,-0.137334
31-DEC-2022,44559.5,75.5,5.25,-0.152944,-0.0791779
31-DEC-2022,44559.5,76.0,5.25,-0.152933,0.0527267
31-DEC-2022,44559.5,76.5,5.25,-0.157911,0.21977
31-DEC-2022,44559.5,77.0,5.25,-0.143887,0.453226
31-DEC-2022,44559.5,77.5,5.25,-0.133676,0.502535
31-DEC-2022,44559.5,78.0,5.25,-0.154181,0.353846
31-DEC-2022,44559.5,78.5,5.25,-0.128644,0.228715
31-DEC-2022,44559.5,79.0,5.25,-0.107695,0.100162
31-DEC-2022,44559.5,79.5,5.25,-0.0688773,-0.037155
31-DEC-2022,44559.5,80.0,5.25,-0.113528,-0.0963843
31-DEC-2022,44559.5,80.5,5.25,-0.208492,-0.00381642
31-DEC-2022,44559.5,81.0,5.25,-0.302258,0.112438
31-DEC-2022,44559.5,81.5,5.25,-0.349684,0.197204
31-DEC-2022,44559.5,82.0,5.25,-0.352688,0.259444
31-DEC-2022,44559.5,82.5,5.25,-0.35274,0.216377
31-DEC-2022,44559.5,83.0,5.25,-0.296718,0.192096
31-DEC-2022,44559.5,83.5,5.25,-0.249715,0.201677
31-DEC-2022,44559.5,84.0,5.25,-0.226339,0.234027
31-DEC-2022,44559.5,84.5,5.25,-0.289401,0.234284
31-DEC-2022,44559.5,85.0,5.25,-0.372648,0.248168
31-DEC-2022,44559.5,85.5,5.25,-0.370441,0.216931
31-DEC-2022,44559.5,86.0,5.25,-0.30833,0.119586
31-DEC-2022,44559.5,86.5,5.25,-0.245514,0.00953586
31-DEC-2022,44559.5,87.0,5.25,-0.227523,-0.00354675
31-DEC-2022,44559.5,87.5,5.25,-0.164669,-0.00620189
